checkin_type,off,mwait,mresponse,mservice,withdrawal,test_type,test_off,test_mwait,test_mresponse,test_mservice,test_withdrawal,off_small,small_mwait,small_mresponse,small_mservice,small_withdrawal,off_med,med_mwait,med_mresponse,med_mservice,med_withdrawal,off_big,big_mwait,big_mresponse,big_service,big_withdrawal
single-queue,20,0.049220,4.718096,4.668876,0.000000,(null),0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
multi-queue,20,3.806514,8.475390,4.668876,0.000000,(null),0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
sita-queue,20,2.353562,7.022439,4.668876,0.000000,(null),0,0.000000,0.000000,0.000000,0.000000,3,0.024617,0.994674,0.970057,0.000000,8,4.459392,9.396523,4.937130,0.000000,9,0.213810,9.992293,9.778483,0.000000
single-queue,20,0.054177,4.723054,4.668876,0.000000,single-queue,5,0.000391,1.056879,1.056488,14.613181,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
multi-queue,20,3.823146,8.492022,4.668876,0.000000,single-queue,5,0.055900,1.112388,1.056488,14.978602,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
sita-queue,20,2.301956,6.970832,4.668876,0.000000,single-queue,5,0.037808,1.094295,1.056488,15.580737,3,0.016355,0.986412,0.970057,0.000000,8,4.342280,9.279410,4.937130,0.000000,9,0.274805,10.053288,9.778483,0.000000
single-queue,20,0.055468,4.724345,4.668876,0.000000,multi-queue,5,0.078803,1.135291,1.056488,87.881253,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
multi-queue,20,3.890131,8.559008,4.668876,0.000000,multi-queue,5,0.083697,1.140185,1.056488,87.910751,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
sita-queue,20,2.306352,6.975229,4.668876,0.000000,multi-queue,5,0.086913,1.143400,1.056488,87.905844,3,0.015900,0.985957,0.970057,0.000000,8,4.353061,9.290192,4.937130,0.000000,9,0.269215,10.047698,9.778483,0.000000
