checkin_type,off,mwait,mresponse,mservice,withdrawal,test_type,test_off,test_mwait,test_mresponse,test_mservice,test_withdrawal,off_small,small_mwait,small_mresponse,small_mservice,small_withdrawal,off_med,med_mwait,med_mresponse,med_mservice,med_withdrawal,off_big,big_mwait,big_mresponse,big_service,big_withdrawal
single-queue,1,112.467604,117.412969,4.945365,92.621628,(null),0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
multi-queue,1,112.467604,117.412969,4.945365,92.621628,(null),0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
sita-queue,1,34.638842,37.100262,2.461420,58.980862,(null),0,0.000000,0.000000,0.000000,0.000000,0,4.767303,5.737360,0.970057,0.000000,1,113.388036,118.278161,4.890125,85.777976,0,109.238795,118.133333,8.894539,78.175092
single-queue,1,112.771572,117.566767,4.795195,92.321881,single-queue,5,0.000391,1.056879,1.056488,14.613181,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
multi-queue,1,112.610974,117.524205,4.913231,92.506341,single-queue,5,0.055900,1.112388,1.056488,14.978602,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
sita-queue,1,33.203815,35.717761,2.513946,59.603412,single-queue,5,0.037808,1.094295,1.056488,15.580737,0,4.337893,5.307950,0.970057,0.000000,1,113.767799,118.903074,5.135275,86.223807,0,109.083229,118.914792,9.831562,80.271270
single-queue,1,112.487124,117.446677,4.959553,92.598570,multi-queue,5,0.078803,1.135291,1.056488,87.881253,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
multi-queue,1,112.548663,117.462294,4.913632,92.529398,multi-queue,5,0.083697,1.140185,1.056488,87.910751,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
sita-queue,1,33.426196,35.934539,2.508343,59.511183,multi-queue,5,0.086913,1.143400,1.056488,87.905844,0,4.328774,5.298831,0.970057,0.000000,1,113.984056,118.896852,4.912797,85.599643,0,108.838222,119.326444,10.488222,81.504316
