checkin_type,off,mwait,mresponse,mservice,withdrawal,test_type,test_off,test_mwait,test_mresponse,test_mservice,test_withdrawal,off_small,small_mwait,small_mresponse,small_mservice,small_withdrawal,off_med,med_mwait,med_mresponse,med_mservice,med_withdrawal,off_big,big_mwait,big_mresponse,big_service,big_withdrawal
single-queue,10,98.266913,102.981342,4.714429,23.403274,(null),0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
multi-queue,10,64.395262,69.128444,4.733182,26.516025,(null),0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
sita-queue,10,62.281131,66.126442,3.845312,26.723542,(null),0,0.000000,0.000000,0.000000,0.000000,3,0.024617,0.994674,0.970057,0.000000,5,103.521439,108.476011,4.954571,29.781543,2,108.911198,118.824844,9.913646,60.542540
single-queue,10,97.921495,102.629641,4.708146,23.195757,single-queue,5,0.000391,1.056879,1.056488,14.613181,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
multi-queue,10,67.019109,71.687593,4.668484,24.948121,single-queue,5,0.055900,1.112388,1.056488,14.978602,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
sita-queue,10,62.240206,66.083935,3.843729,26.585197,single-queue,5,0.037808,1.094295,1.056488,15.580737,3,0.016355,0.986412,0.970057,0.000000,5,103.342584,108.233479,4.890895,28.756130,2,108.945160,119.434268,10.489109,62.638718
single-queue,10,98.241251,102.869841,4.628590,21.904542,multi-queue,5,0.078803,1.135291,1.056488,87.881253,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
multi-queue,10,66.893438,71.602958,4.709520,25.040350,multi-queue,5,0.083697,1.140185,1.056488,87.910751,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
sita-queue,10,62.011004,65.864534,3.853530,26.838829,multi-queue,5,0.086913,1.143400,1.056488,87.905844,3,0.015900,0.985957,0.970057,0.000000,5,103.151146,108.075384,4.924238,29.335711,2,109.003115,119.421967,10.418852,62.392109
