Airport;Terminal;Date;Hour;U.S. Citizen;;Non U.S. Citizen;;All;;;;;;;;;;;;
;;;;;;;;Wait Times;;Number Of Passengers Time Interval;;;;;;;;;;
;;;;Average Wait;Max Wait;Average Wait;Max Wait;Average Wait;Max Wait;0-15;16-30;31-45;46-60;61-90;91-120;120 plus;Excluded;Total;Flights;Booths
;;;;Time;Time;Time;Time;Time;Time;;;;;;;;;;;
LAX;Satellite 7;9/24/2019;1600 - 1700;11;38;24;67;19;67;236;149;37;34;12;0;0;14;482;2;8
LAX;Satellite 7;9/24/2019;1800 - 1900;13;23;0;0;13;23;7;1;0;0;0;0;0;1;9;1;0
LAX;Satellite 7;9/24/2019;2000 - 2100;17;19;0;0;17;19;1;9;0;0;0;0;0;1;11;1;0
LAX;Terminal 4;9/24/2019;1000 - 1100;10;42;24;53;17;53;178;39;25;28;0;0;0;3;273;1;7
LAX;Terminal 4;9/24/2019;1200 - 1300;9;31;26;55;19;55;127;62;39;17;0;0;0;8;253;1;8
LAX;Terminal 4;9/24/2019;1300 - 1400;15;47;43;95;34;95;156;172;79;32;92;18;0;18;567;2;9
LAX;Terminal 4;9/24/2019;1400 - 1500;16;43;41;74;38;74;31;84;51;41;60;0;0;9;276;1;8
LAX;Terminal 4;9/24/2019;1700 - 1800;13;19;0;0;13;19;9;2;0;0;0;0;0;1;12;1;0
LAX;Terminal 4;9/24/2019;2000 - 2100;12;15;0;0;12;15;10;0;0;0;0;0;0;1;11;1;0
LAX;Tom Bradley International Terminal;9/24/2019;0000 - 0100;3;53;16;112;9;112;2687;275;216;112;25;18;0;97;3431;17;31
LAX;Tom Bradley International Terminal;9/24/2019;0500 - 0600;13;31;25;53;18;53;164;150;24;19;0;0;0;12;369;2;17
LAX;Tom Bradley International Terminal;9/24/2019;0600 - 0700;9;34;21;70;18;70;793;487;146;89;32;0;0;54;1601;6;22
LAX;Tom Bradley International Terminal;9/24/2019;0700 - 0800;7;58;20;64;16;64;496;89;124;43;5;0;0;25;782;4;20
LAX;Tom Bradley International Terminal;9/24/2019;0800 - 0900;6;19;10;21;9;21;173;44;0;0;0;0;0;6;223;1;19
LAX;Tom Bradley International Terminal;9/24/2019;0900 - 1000;6;57;20;62;17;62;705;186;152;98;5;0;0;32;1178;4;26
LAX;Tom Bradley International Terminal;9/24/2019;1000 - 1100;8;48;29;87;22;87;697;92;157;155;75;0;0;42;1218;5;25
LAX;Tom Bradley International Terminal;9/24/2019;1100 - 1200;7;44;21;66;17;66;596;135;79;87;9;0;0;25;931;4;20
LAX;Tom Bradley International Terminal;9/24/2019;1200 - 1300;12;69;27;79;21;79;852;519;343;165;20;0;0;62;1961;8;35
