Airport;Terminal;Date;Hour;U.S. Citizen;;Non U.S. Citizen;;All;;;;;;;;;;;;
;;;;;;;;Wait Times;;Number Of Passengers Time Interval;;;;;;;;;;
;;;;Average Wait;Max Wait;Average Wait;Max Wait;Average Wait;Max Wait;0-15;16-30;31-45;46-60;61-90;91-120;120 plus;Excluded;Total;Flights;Booths
;;;;Time;Time;Time;Time;Time;Time;;;;;;;;;;;
LAX;Satellite 2;01/01/2019;0600 - 0700;7;9;22;22;9;22;10;2;0;0;0;0;0;0;12;1;0
LAX;Satellite 2;01/01/2019;0700 - 0800;7;11;0;0;7;11;25;0;0;0;0;0;0;1;26;1;0
LAX;Satellite 2;01/01/2019;0900 - 1000;11;13;0;0;11;13;8;0;0;0;0;0;0;1;9;1;0
LAX;Satellite 2;01/01/2019;1000 - 1100;15;43;18;48;16;48;424;219;114;4;0;0;0;22;783;5;6
LAX;Satellite 2;01/01/2019;1100 - 1200;13;42;17;42;15;42;146;94;12;0;0;0;0;5;257;2;6
LAX;Satellite 2;01/01/2019;1200 - 1300;11;45;16;44;12;45;339;138;22;0;0;0;0;19;518;4;6
LAX;Satellite 2;01/01/2019;1300 - 1400;7;22;15;24;9;24;161;27;0;0;0;0;0;1;189;1;6
LAX;Satellite 2;01/01/2019;1600 - 1700;7;14;11;16;8;16;149;6;0;0;0;0;0;4;159;1;6
LAX;Satellite 2;01/01/2019;1700 - 1800;10;35;12;36;10;36;467;53;12;0;0;0;0;17;549;3;7
LAX;Satellite 2;01/01/2019;1800 - 1900;7;18;9;14;7;18;121;2;0;0;0;0;0;4;127;2;3
LAX;Satellite 2;01/01/2019;2200 - 2300;31;36;0;0;31;36;0;3;4;0;0;0;0;0;7;1;0
LAX;Satellite 2;01/01/2019;2300 - 0000;27;28;0;0;27;28;0;7;0;0;0;0;0;1;8;1;0
LAX;Satellite 5;01/01/2019;2100 - 2200;16;18;18;18;16;18;1;4;0;0;0;0;0;1;6;1;1
LAX;Satellite 7;01/01/2019;0600 - 0700;10;14;13;13;10;14;13;0;0;0;0;0;0;0;13;2;0
LAX;Satellite 7;01/01/2019;1000 - 1100;10;25;14;28;12;28;116;40;0;0;0;0;0;4;160;1;4
LAX;Satellite 7;01/01/2019;1300 - 1400;10;31;15;32;11;32;297;84;3;0;0;0;0;13;397;2;6
LAX;Satellite 7;01/01/2019;1400 - 1500;8;23;29;70;22;70;139;37;17;19;29;0;0;7;248;1;8
LAX;Satellite 7;01/01/2019;1500 - 1600;11;29;11;17;11;29;125;17;0;0;0;0;0;5;147;1;4
LAX;Satellite 7;01/01/2019;1600 - 1700;10;28;14;28;11;28;420;144;0;0;0;0;0;13;577;3;7
LAX;Satellite 7;01/01/2019;1700 - 1800;12;30;14;30;12;30;233;90;0;0;0;0;0;7;330;2;8
LAX;Satellite 7;01/01/2019;1800 - 1900;21;22;0;0;21;22;0;5;0;0;0;0;0;1;6;1;0
LAX;Satellite 7;01/01/2019;1900 - 2000;32;35;0;0;32;35;0;3;8;0;0;0;0;0;11;1;0
LAX;Satellite 7;01/01/2019;2000 - 2100;20;27;0;0;20;27;1;10;0;0;0;0;0;0;11;1;0
LAX;Satellite 7;01/01/2019;2100 - 2200;29;38;0;0;29;38;0;6;2;0;0;0;0;0;8;1;0
LAX;Satellite 7;01/01/2019;2200 - 2300;13;14;0;0;13;14;8;0;0;0;0;0;0;1;9;1;0
LAX;Satellite 7;01/01/2019;2300 - 0000;20;27;0;0;20;27;0;15;0;0;0;0;0;0;15;1;0
LAX;Terminal 4;01/01/2019;0900 - 1000;13;16;0;0;13;16;12;3;0;0;0;0;0;0;15;1;0
LAX;Terminal 4;01/01/2019;1000 - 1100;13;51;30;66;20;66;156;61;27;24;13;0;0;8;289;1;6
LAX;Terminal 4;01/01/2019;1300 - 1400;22;59;52;105;41;105;26;116;36;26;47;21;0;9;281;1;7
LAX;Terminal 4;01/01/2019;1400 - 1500;17;70;34;75;21;75;206;161;20;16;35;0;0;14;452;2;7
LAX;Terminal 4;01/01/2019;1500 - 1600;22;51;38;78;29;78;55;138;46;23;27;0;0;9;298;2;7
LAX;Terminal 4;01/01/2019;1800 - 1900;26;32;0;0;26;32;0;7;4;0;0;0;0;1;12;2;0
LAX;Tom Bradley International Terminal;01/01/2019;0500 - 0600;39;53;53;89;49;89;0;9;133;81;55;0;0;9;287;1;21
LAX;Tom Bradley International Terminal;01/01/2019;0600 - 0700;12;45;20;55;16;55;1665;685;367;84;0;0;0;86;2887;9;25
LAX;Tom Bradley International Terminal;01/01/2019;0700 - 0800;8;35;12;35;9;35;501;149;7;0;0;0;0;18;675;3;19
LAX;Tom Bradley International Terminal;01/01/2019;0800 - 0900;21;84;33;96;26;96;742;484;366;139;155;9;0;60;1955;7;23
LAX;Tom Bradley International Terminal;01/01/2019;0900 - 1000;13;84;39;89;25;89;1059;334;96;120;334;0;0;58;2001;9;24
LAX;Tom Bradley International Terminal;01/01/2019;1000 - 1100;18;44;31;68;24;68;255;467;128;106;16;0;0;30;1002;4;19
LAX;Tom Bradley International Terminal;01/01/2019;1100 - 1200;13;67;37;101;23;101;981;515;191;112;116;37;0;66;2018;8;24
LAX;Tom Bradley International Terminal;01/01/2019;1200 - 1300;8;76;36;88;19;88;855;95;13;12;181;0;0;40;1196;4;24
LAX;Tom Bradley International Terminal;01/01/2019;1300 - 1400;11;101;38;102;23;102;1243;394;50;15;267;64;0;63;2096;7;29
LAX;Tom Bradley International Terminal;01/01/2019;1400 - 1500;12;108;58;118;31;118;1016;242;64;29;227;186;0;49;1813;6;29
LAX;Tom Bradley International Terminal;01/01/2019;1500 - 1600;9;77;29;85;16;85;625;75;28;51;49;0;0;24;852;4;24
LAX;Tom Bradley International Terminal;01/01/2019;1600 - 1700;12;66;30;67;19;67;1309;572;244;219;48;0;0;70;2462;9;31
LAX;Tom Bradley International Terminal;01/01/2019;1700 - 1800;11;106;40;108;23;108;1235;276;63;215;173;51;0;61;2074;7;27
LAX;Tom Bradley International Terminal;01/01/2019;1800 - 1900;15;99;46;101;24;101;1028;495;49;15;160;114;0;54;1915;9;28
LAX;Tom Bradley International Terminal;01/01/2019;1900 - 2000;17;115;58;125;29;125;622;531;53;9;131;152;4;47;1549;8;22
LAX;Tom Bradley International Terminal;01/01/2019;2000 - 2100;15;78;33;79;18;79;273;165;5;9;36;0;0;16;504;4;14
LAX;Tom Bradley International Terminal;01/01/2019;2100 - 2200;14;51;17;48;15;51;433;329;95;7;0;0;0;27;891;5;15
LAX;Tom Bradley International Terminal;01/01/2019;2200 - 2300;19;79;27;80;21;80;559;559;239;65;17;0;0;43;1482;9;14
LAX;Tom Bradley International Terminal;01/01/2019;2300 - 0000;15;49;23;49;17;49;191;168;44;4;0;0;0;13;420;3;12
LAX;Satellite 2;01/02/2019;0600 - 0700;16;22;0;0;16;22;6;5;0;0;0;0;0;0;11;1;0
LAX;Satellite 2;01/02/2019;0700 - 0800;9;15;0;0;9;15;25;0;0;0;0;0;0;1;26;2;0
LAX;Satellite 2;01/02/2019;1000 - 1100;11;40;16;41;12;41;285;135;14;0;0;0;0;13;447;3;6
LAX;Satellite 2;01/02/2019;1100 - 1200;21;31;27;41;23;41;17;117;41;0;0;0;0;7;182;2;7
LAX;Satellite 2;01/02/2019;1200 - 1300;15;52;23;55;17;55;261;222;43;11;0;0;0;17;554;3;5
LAX;Satellite 2;01/02/2019;1300 - 1400;9;22;11;22;9;22;163;28;0;0;0;0;0;6;197;1;4
LAX;Satellite 2;01/02/2019;1500 - 1600;7;19;7;18;7;19;156;13;0;0;0;0;0;5;174;2;3
LAX;Satellite 2;01/02/2019;1600 - 1700;9;24;14;24;10;24;141;16;0;0;0;0;0;4;161;1;4
LAX;Satellite 2;01/02/2019;1700 - 1800;13;52;18;53;14;53;318;155;33;12;0;0;0;12;530;3;8
LAX;Satellite 2;01/02/2019;1800 - 1900;8;27;10;21;9;27;219;27;0;0;0;0;0;8;254;3;4
LAX;Satellite 2;01/02/2019;1900 - 2000;12;25;11;24;11;25;90;38;0;0;0;0;0;2;130;1;8
LAX;Satellite 2;01/02/2019;2200 - 2300;29;33;0;0;29;33;0;5;6;0;0;0;0;1;12;1;0
LAX;Satellite 2;01/02/2019;2300 - 0000;27;36;0;0;27;36;0;4;2;0;0;0;0;1;7;1;0
LAX;Satellite 5;01/02/2019;0600 - 0700;0;0;5;9;3;9;5;0;0;0;0;0;0;2;7;1;1
LAX;Satellite 5;01/02/2019;1300 - 1400;12;16;14;16;13;16;9;2;0;0;0;0;0;0;11;1;1
LAX;Satellite 7;01/02/2019;0900 - 1000;29;71;36;68;31;71;0;143;98;14;6;0;0;8;269;2;3
LAX;Satellite 7;01/02/2019;1000 - 1100;9;24;14;36;10;36;133;15;4;0;0;0;0;4;156;1;3
LAX;Satellite 7;01/02/2019;1300 - 1400;9;22;11;21;9;22;122;21;0;0;0;0;0;2;145;1;3
LAX;Satellite 7;01/02/2019;1600 - 1700;12;40;23;72;15;72;453;189;47;23;7;0;0;20;739;5;9
LAX;Satellite 7;01/02/2019;1700 - 1800;13;32;23;45;15;45;250;135;35;0;0;0;0;12;432;2;7
LAX;Satellite 7;01/02/2019;1800 - 1900;17;44;20;44;17;44;288;108;94;0;0;0;0;11;501;3;7
LAX;Satellite 7;01/02/2019;1900 - 2000;23;65;33;67;24;67;81;178;31;22;13;0;0;9;334;2;5
LAX;Satellite 7;01/02/2019;2000 - 2100;19;25;0;0;19;25;0;6;0;0;0;0;0;0;6;1;0
LAX;Satellite 7;01/02/2019;2100 - 2200;29;33;0;0;29;33;0;15;9;0;0;0;0;0;24;1;0
LAX;Satellite 7;01/02/2019;2300 - 0000;6;12;0;0;6;12;14;0;0;0;0;0;0;1;15;1;0
LAX;Terminal 4;01/02/2019;0600 - 0700;13;26;0;0;13;26;19;8;0;0;0;0;0;2;29;3;0
LAX;Terminal 4;01/02/2019;1100 - 1200;13;75;42;111;27;111;156;31;19;24;36;11;0;9;286;1;5
LAX;Terminal 4;01/02/2019;1200 - 1300;26;86;79;151;67;151;19;92;11;9;34;57;44;7;273;1;6
LAX;Terminal 4;01/02/2019;1400 - 1500;19;71;65;152;43;152;215;207;56;12;71;94;48;22;725;3;9
LAX;Terminal 4;01/02/2019;1600 - 1700;15;55;31;63;22;63;142;73;10;41;9;0;0;6;281;2;8
LAX;Tom Bradley International Terminal;01/02/2019;0000 - 0100;14;39;21;39;16;39;189;131;36;0;0;0;0;10;366;2;7
LAX;Tom Bradley International Terminal;01/02/2019;0500 - 0600;8;26;9;24;8;26;198;30;0;0;0;0;0;12;240;1;17
LAX;Tom Bradley International Terminal;01/02/2019;0600 - 0700;13;63;22;73;17;73;1212;724;152;98;44;0;0;71;2301;8;20
LAX;Tom Bradley International Terminal;01/02/2019;0700 - 0800;19;77;29;135;24;135;1105;807;357;110;106;48;25;87;2645;8;25
LAX;Tom Bradley International Terminal;01/02/2019;0800 - 0900;30;151;75;155;52;155;326;539;454;94;95;88;352;60;2008;7;32
LAX;Tom Bradley International Terminal;01/02/2019;0900 - 1000;18;118;37;127;27;127;612;383;83;54;34;92;16;44;1318;6;22
LAX;Tom Bradley International Terminal;01/02/2019;1000 - 1100;17;104;46;107;28;107;684;442;135;27;183;81;0;48;1600;7;25
LAX;Tom Bradley International Terminal;01/02/2019;1100 - 1200;12;103;48;109;29;109;823;291;73;47;235;90;0;56;1615;7;30
LAX;Tom Bradley International Terminal;01/02/2019;1200 - 1300;14;82;31;87;22;87;804;540;139;115;113;0;0;52;1763;6;30
LAX;Tom Bradley International Terminal;01/02/2019;1300 - 1400;17;68;33;95;25;95;1097;891;318;219;237;5;0;82;2849;9;32
LAX;Tom Bradley International Terminal;01/02/2019;1400 - 1500;15;70;33;79;21;79;552;358;40;56;76;0;0;32;1114;4;25
LAX;Tom Bradley International Terminal;01/02/2019;1500 - 1600;7;43;22;71;14;71;1323;267;169;74;28;0;0;54;1915;7;27
LAX;Tom Bradley International Terminal;01/02/2019;1600 - 1700;13;94;43;94;25;94;1023;393;52;173;276;6;0;59;1982;7;32
LAX;Tom Bradley International Terminal;01/02/2019;1700 - 1800;9;57;30;65;19;65;722;96;86;172;32;0;0;34;1142;4;30
LAX;Tom Bradley International Terminal;01/02/2019;1800 - 1900;16;98;37;99;25;99;1349;832;427;174;285;33;0;107;3207;12;35
LAX;Tom Bradley International Terminal;01/02/2019;1900 - 2000;17;78;37;89;21;89;581;535;112;54;93;0;0;40;1415;7;27
LAX;Tom Bradley International Terminal;01/02/2019;2000 - 2100;13;47;25;58;17;58;471;305;131;14;0;0;0;26;947;5;22
LAX;Tom Bradley International Terminal;01/02/2019;2100 - 2200;22;60;31;67;24;67;360;842;238;96;22;0;0;48;1606;8;16
LAX;Tom Bradley International Terminal;01/02/2019;2200 - 2300;24;83;40;90;27;90;312;323;185;84;87;0;0;33;1024;6;15
LAX;Tom Bradley International Terminal;01/02/2019;2300 - 0000;18;71;31;71;21;71;348;164;112;86;16;0;0;24;750;5;11
LAX;Satellite 2;01/03/2019;1000 - 1100;18;54;20;59;19;59;274;187;127;18;0;0;0;20;626;4;5
LAX;Satellite 2;01/03/2019;1100 - 1200;12;40;19;41;14;41;152;65;23;0;0;0;0;5;245;2;6
LAX;Satellite 2;01/03/2019;1200 - 1300;20;61;26;63;21;63;219;173;96;51;4;0;0;18;561;4;5
LAX;Satellite 2;01/03/2019;1300 - 1400;11;31;18;33;13;33;220;114;6;0;0;0;0;10;350;2;5
LAX;Satellite 2;01/03/2019;1500 - 1600;8;23;11;22;9;23;275;31;0;0;0;0;0;10;316;2;4
LAX;Satellite 2;01/03/2019;1600 - 1700;12;29;15;30;13;30;97;56;0;0;0;0;0;5;158;1;2
LAX;Satellite 2;01/03/2019;1700 - 1800;10;42;15;46;11;46;316;54;15;1;0;0;0;13;399;2;5
LAX;Satellite 2;01/03/2019;1800 - 1900;7;14;9;14;7;14;140;0;0;0;0;0;0;3;143;2;3
LAX;Satellite 2;01/03/2019;1900 - 2000;7;20;8;21;7;21;105;9;0;0;0;0;0;4;118;1;5
LAX;Satellite 5;01/03/2019;1800 - 1900;0;0;14;19;14;19;4;2;0;0;0;0;0;1;7;1;1
LAX;Satellite 7;01/03/2019;0900 - 1000;39;98;53;100;44;100;0;60;115;24;38;9;0;8;254;1;3
LAX;Satellite 7;01/03/2019;1000 - 1100;13;43;19;43;14;43;104;59;10;0;0;0;0;6;179;1;3
LAX;Satellite 7;01/03/2019;1300 - 1400;11;20;12;18;11;20;115;33;0;0;0;0;0;2;150;1;4
LAX;Satellite 7;01/03/2019;1500 - 1600;16;33;40;91;27;91;164;128;40;37;42;3;0;13;427;2;11
LAX;Satellite 7;01/03/2019;1600 - 1700;13;38;19;49;15;49;343;295;23;4;0;0;0;21;686;4;6
LAX;Satellite 7;01/03/2019;1800 - 1900;11;40;13;19;11;40;146;32;4;0;0;0;0;3;185;2;4
LAX;Satellite 7;01/03/2019;1900 - 2000;4;8;0;0;4;8;10;0;0;0;0;0;0;2;12;1;0
LAX;Satellite 7;01/03/2019;2000 - 2100;26;30;0;0;26;30;0;20;0;0;0;0;0;1;21;1;0
LAX;Satellite 7;01/03/2019;2100 - 2200;21;24;0;0;21;24;0;17;0;0;0;0;0;0;17;1;0
LAX;Terminal 4;01/03/2019;1000 - 1100;10;39;37;89;23;89;166;37;22;18;34;0;0;9;286;1;5
LAX;Terminal 4;01/03/2019;1300 - 1400;23;67;83;168;70;168;13;80;29;16;27;36;62;9;272;1;7
LAX;Terminal 4;01/03/2019;1400 - 1500;17;159;95;209;55;209;253;155;40;9;13;27;153;25;675;3;8
LAX;Terminal 4;01/03/2019;1500 - 1600;18;23;0;0;18;23;1;5;0;0;0;0;0;1;7;1;0
LAX;Terminal 4;01/03/2019;1600 - 1700;32;69;51;87;39;87;10;105;89;2;60;0;0;10;276;2;7
LAX;Tom Bradley International Terminal;01/03/2019;0000 - 0100;10;40;19;42;13;42;365;137;37;0;0;0;0;13;552;4;15
LAX;Tom Bradley International Terminal;01/03/2019;0500 - 0600;16;37;19;38;16;38;268;250;20;0;0;0;0;17;555;2;19
LAX;Tom Bradley International Terminal;01/03/2019;0600 - 0700;19;46;22;68;20;68;922;1055;380;97;13;0;0;77;2544;8;24
LAX;Tom Bradley International Terminal;01/03/2019;0700 - 0800;11;44;22;69;16;69;918;471;111;88;18;0;0;49;1655;5;25
LAX;Tom Bradley International Terminal;01/03/2019;0800 - 0900;14;76;45;91;32;91;1010;564;153;88;616;4;0;73;2508;9;31
LAX;Tom Bradley International Terminal;01/03/2019;0900 - 1000;10;58;24;73;16;73;721;139;83;82;30;0;0;37;1092;5;27
LAX;Tom Bradley International Terminal;01/03/2019;1000 - 1100;24;63;27;62;25;63;275;476;405;35;6;0;0;33;1230;6;20
LAX;Tom Bradley International Terminal;01/03/2019;1100 - 1200;16;65;37;83;26;83;664;500;209;141;176;0;0;59;1749;6;24
LAX;Tom Bradley International Terminal;01/03/2019;1200 - 1300;14;58;32;80;21;80;910;527;108;169;70;0;0;53;1837;6;28
LAX;Tom Bradley International Terminal;01/03/2019;1300 - 1400;13;82;33;105;23;105;1130;423;72;103;254;8;0;62;2052;7;30
LAX;Tom Bradley International Terminal;01/03/2019;1400 - 1500;18;102;58;139;39;139;599;463;109;70;118;205;91;53;1708;5;28
LAX;Tom Bradley International Terminal;01/03/2019;1500 - 1600;11;53;36;85;20;85;708;225;45;30;162;0;0;36;1206;5;24
LAX;Tom Bradley International Terminal;01/03/2019;1600 - 1700;9;69;45;113;25;113;1151;204;55;103;217;94;0;51;1875;7;26
LAX;Tom Bradley International Terminal;01/03/2019;1700 - 1800;13;80;54;125;30;125;1026;424;65;33;79;274;8;58;1967;7;36
LAX;Tom Bradley International Terminal;01/03/2019;1800 - 1900;14;88;40;95;25;95;1275;544;108;66;430;14;0;77;2514;12;36
LAX;Tom Bradley International Terminal;01/03/2019;1900 - 2000;30;80;55;96;39;96;97;391;588;54;242;12;0;50;1434;6;32
LAX;Tom Bradley International Terminal;01/03/2019;2000 - 2100;13;46;24;61;17;61;534;357;109;35;2;0;0;29;1066;5;26
LAX;Tom Bradley International Terminal;01/03/2019;2100 - 2200;10;47;13;45;11;47;617;188;65;2;0;0;0;36;908;5;13
LAX;Tom Bradley International Terminal;01/03/2019;2200 - 2300;12;79;14;79;12;79;999;387;83;5;11;0;0;83;1568;10;16
LAX;Tom Bradley International Terminal;01/03/2019;2300 - 0000;13;64;24;64;16;64;508;126;57;55;11;0;0;38;795;5;14
LAX;Satellite 2;01/04/2019;0900 - 1000;10;23;13;23;11;23;114;42;0;0;0;0;0;4;160;1;5
LAX;Satellite 2;01/04/2019;1000 - 1100;11;31;14;30;12;31;256;104;1;0;0;0;0;10;371;2;6
LAX;Satellite 2;01/04/2019;1100 - 1200;13;50;19;44;15;50;166;91;23;7;0;0;0;5;292;2;6
LAX;Satellite 2;01/04/2019;1200 - 1300;10;40;18;40;12;40;232;66;14;0;0;0;0;6;318;2;7
LAX;Satellite 2;01/04/2019;1300 - 1400;19;48;23;50;20;50;186;315;70;15;0;0;0;18;604;3;8
LAX;Satellite 2;01/04/2019;1500 - 1600;7;15;12;18;7;18;152;7;0;0;0;0;0;1;160;1;4
LAX;Satellite 2;01/04/2019;1600 - 1700;11;35;15;35;12;35;237;58;10;0;0;0;0;8;313;2;5
LAX;Satellite 2;01/04/2019;1700 - 1800;14;42;20;50;16;50;206;150;36;7;0;0;0;11;410;2;4
LAX;Satellite 2;01/04/2019;1800 - 1900;8;26;9;23;8;26;250;16;0;0;0;0;0;7;273;3;4
LAX;Satellite 2;01/04/2019;2300 - 0000;6;10;0;0;6;10;12;0;0;0;0;0;0;1;13;1;0
LAX;Satellite 7;01/04/2019;0900 - 1000;11;39;18;44;13;44;162;62;20;0;0;0;0;8;252;1;5
LAX;Satellite 7;01/04/2019;1000 - 1100;10;25;12;22;10;25;148;31;0;0;0;0;0;5;184;1;5
LAX;Satellite 7;01/04/2019;1300 - 1400;8;15;9;14;8;15;147;0;0;0;0;0;0;3;150;1;4
LAX;Satellite 7;01/04/2019;1500 - 1600;7;56;28;84;23;84;130;41;25;22;20;0;0;8;246;1;5
LAX;Satellite 7;01/04/2019;1600 - 1700;10;36;14;34;11;36;411;104;13;0;0;0;0;16;544;3;5
LAX;Satellite 7;01/04/2019;1700 - 1800;16;41;20;43;16;43;248;235;33;0;0;0;0;18;534;3;5
LAX;Satellite 7;01/04/2019;1800 - 1900;18;36;24;42;19;42;118;151;15;0;0;0;0;9;293;2;5
LAX;Satellite 7;01/04/2019;1900 - 2000;18;43;0;0;18;43;16;21;7;0;0;0;0;2;46;2;0
LAX;Satellite 7;01/04/2019;2000 - 2100;21;26;0;0;21;26;0;11;0;0;0;0;0;0;11;1;0
LAX;Satellite 7;01/04/2019;2100 - 2200;20;22;0;0;20;22;0;9;0;0;0;0;0;0;9;1;0
LAX;Satellite 7;01/04/2019;2200 - 2300;4;11;0;0;4;11;21;0;0;0;0;0;0;2;23;2;0
LAX;Terminal 4;01/04/2019;1100 - 1200;10;42;36;81;21;81;325;91;53;40;42;0;0;17;568;2;8
LAX;Terminal 4;01/04/2019;1400 - 1500;26;30;0;0;26;30;0;11;0;0;0;0;0;0;11;1;0
LAX;Terminal 4;01/04/2019;1600 - 1700;10;67;34;72;21;72;167;58;21;30;26;0;0;9;311;2;5
LAX;Terminal 4;01/04/2019;1800 - 1900;28;48;0;0;28;48;1;14;3;6;0;0;0;1;25;2;0
LAX;Tom Bradley International Terminal;01/04/2019;0000 - 0100;10;30;12;30;10;30;303;81;0;0;0;0;0;10;394;3;13
LAX;Tom Bradley International Terminal;01/04/2019;0500 - 0600;14;30;17;34;15;34;151;119;3;0;0;0;0;8;281;1;19
LAX;Tom Bradley International Terminal;01/04/2019;0600 - 0700;9;33;11;33;10;33;1841;498;24;0;0;0;0;72;2435;8;23
LAX;Tom Bradley International Terminal;01/04/2019;0700 - 0800;11;42;13;42;12;42;1259;475;60;0;0;0;0;54;1848;7;22
LAX;Tom Bradley International Terminal;01/04/2019;0800 - 0900;10;44;19;52;15;52;1092;424;215;38;0;0;0;49;1818;5;27
LAX;Tom Bradley International Terminal;01/04/2019;0900 - 1000;10;30;15;37;12;37;491;183;27;0;0;0;0;20;721;4;26
LAX;Tom Bradley International Terminal;01/04/2019;1000 - 1100;18;52;22;54;19;54;739;893;294;43;0;0;0;68;2037;8;26
LAX;Tom Bradley International Terminal;01/04/2019;1100 - 1200;9;29;11;28;9;29;804;156;0;0;0;0;0;28;988;5;12
LAX;Tom Bradley International Terminal;01/04/2019;1200 - 1300;9;35;14;43;12;43;994;367;73;0;0;0;0;44;1478;5;26
LAX;Tom Bradley International Terminal;01/04/2019;1300 - 1400;15;78;33;111;23;111;1574;1186;378;97;156;145;0;107;3643;10;33
LAX;Tom Bradley International Terminal;01/04/2019;1400 - 1500;16;70;32;96;23;96;841;702;113;34;182;37;0;61;1970;7;27
LAX;Tom Bradley International Terminal;01/04/2019;1500 - 1600;11;37;28;51;18;51;325;134;129;15;0;0;0;14;617;2;33
LAX;Tom Bradley International Terminal;01/04/2019;1600 - 1700;10;41;15;46;12;46;1270;459;89;2;0;0;0;52;1872;7;35
LAX;Tom Bradley International Terminal;01/04/2019;1700 - 1800;16;69;29;84;23;84;878;966;261;203;100;0;0;74;2482;9;33
LAX;Tom Bradley International Terminal;01/04/2019;1800 - 1900;22;74;32;91;25;91;1117;787;482;322;169;1;0;90;2968;13;27
LAX;Tom Bradley International Terminal;01/04/2019;1900 - 2000;20;61;30;68;23;68;602;683;237;120;46;0;0;59;1747;6;29
LAX;Tom Bradley International Terminal;01/04/2019;2000 - 2100;16;60;30;65;22;65;351;401;157;74;18;0;0;31;1032;5;20
LAX;Tom Bradley International Terminal;01/04/2019;2100 - 2200;11;27;12;27;12;27;474;260;0;0;0;0;0;30;764;5;18
LAX;Tom Bradley International Terminal;01/04/2019;2200 - 2300;11;46;18;48;13;48;941;453;73;9;0;0;0;66;1542;9;25
LAX;Tom Bradley International Terminal;01/04/2019;2300 - 0000;11;28;12;31;11;31;547;204;1;0;0;0;0;37;789;5;18
LAX;Satellite 2;01/05/2019;0700 - 0800;12;13;0;0;12;13;6;0;0;0;0;0;0;0;6;1;0
LAX;Satellite 2;01/05/2019;0900 - 1000;8;10;0;0;8;10;6;0;0;0;0;0;0;0;6;1;0
LAX;Satellite 2;01/05/2019;1000 - 1100;15;54;18;51;16;54;409;228;79;9;0;0;0;23;748;5;7
LAX;Satellite 2;01/05/2019;1100 - 1200;21;54;22;55;22;55;123;119;76;17;0;0;0;10;345;2;7
LAX;Satellite 2;01/05/2019;1200 - 1300;10;25;15;25;11;25;245;67;0;0;0;0;0;7;319;2;7
LAX;Satellite 2;01/05/2019;1300 - 1400;17;39;22;39;18;39;263;215;108;0;0;0;0;16;602;3;6
LAX;Satellite 2;01/05/2019;1500 - 1600;10;23;13;23;10;23;125;30;0;0;0;0;0;4;159;1;6
LAX;Satellite 2;01/05/2019;1600 - 1700;9;25;8;20;9;25;278;34;0;0;0;0;0;8;320;2;6
LAX;Satellite 2;01/05/2019;1700 - 1800;9;17;11;17;9;17;141;19;0;0;0;0;0;2;162;1;3
LAX;Satellite 2;01/05/2019;1800 - 1900;7;24;13;27;8;27;250;28;0;0;0;0;0;10;288;3;4
LAX;Satellite 2;01/05/2019;2300 - 0000;31;50;0;0;31;50;4;7;18;6;0;0;0;1;36;2;0
LAX;Satellite 5;01/05/2019;0700 - 0800;14;15;0;0;14;15;6;0;0;0;0;0;0;0;6;1;1
LAX;Satellite 5;01/05/2019;1900 - 2000;17;18;25;26;19;26;0;6;0;0;0;0;0;1;7;1;1
LAX;Satellite 7;01/05/2019;1000 - 1100;12;46;22;48;15;48;264;110;41;3;0;0;0;13;431;2;5
LAX;Satellite 7;01/05/2019;1300 - 1400;11;20;11;18;11;20;225;78;0;0;0;0;0;6;309;2;4
LAX;Satellite 7;01/05/2019;1500 - 1600;11;26;20;48;15;48;259;113;38;8;0;0;0;14;432;2;9
LAX;Satellite 7;01/05/2019;1600 - 1700;10;23;11;24;10;24;377;66;0;0;0;0;0;13;456;3;9
LAX;Satellite 7;01/05/2019;1700 - 1800;16;38;18;37;17;38;362;286;82;0;0;0;0;18;748;4;9
LAX;Satellite 7;01/05/2019;1800 - 1900;22;37;24;37;22;37;41;94;41;0;0;0;0;5;181;1;7
LAX;Satellite 7;01/05/2019;1900 - 2000;14;29;0;0;14;29;7;11;0;0;0;0;0;3;21;2;0
LAX;Satellite 7;01/05/2019;2200 - 2300;24;30;0;0;24;30;0;7;0;0;0;0;0;1;8;1;0
LAX;Satellite 7;01/05/2019;2300 - 0000;1;3;0;0;1;3;6;0;0;0;0;0;0;2;8;1;0
LAX;Terminal 4;01/05/2019;1100 - 1200;8;37;31;56;18;56;178;29;32;33;0;0;0;9;281;1;7
LAX;Terminal 4;01/05/2019;1200 - 1300;11;38;36;64;24;64;149;31;39;46;13;0;0;7;285;1;7
LAX;Terminal 4;01/05/2019;1300 - 1400;17;40;58;108;53;108;21;89;30;21;65;54;0;4;284;1;7
LAX;Terminal 4;01/05/2019;1500 - 1600;7;35;17;41;12;41;187;56;28;0;0;0;0;9;280;1;8
LAX;Terminal 4;01/05/2019;1600 - 1700;30;68;40;68;34;68;0;127;94;28;21;0;0;9;279;2;7
LAX;Terminal 4;01/05/2019;2100 - 2200;19;21;0;0;19;21;0;7;0;0;0;0;0;0;7;1;0
LAX;Tom Bradley International Terminal;01/05/2019;0000 - 0100;10;20;13;20;10;20;153;27;0;0;0;0;0;4;184;1;10
LAX;Tom Bradley International Terminal;01/05/2019;0200 - 0300;0;0;3;7;3;7;4;0;0;0;0;0;0;2;6;1;1
